company_id,score_date,credit_score,credit_grade,payment_timeliness_score,invoice_volume_score,overdue_ratio_pct,avg_payment_days,total_transactions_count,total_amount_ntd,trend
SUP001,2026-05-10,87,A,92,78,3.2,45,127,58420000,up
SUP002,2026-05-10,79,B+,81,82,7.5,52,94,112600000,stable
SUP003,2026-05-10,85,A,88,76,4.1,48,83,26800000,up
SUP004,2026-05-10,91,A+,95,89,1.8,38,215,234500000,up
SUP005,2026-05-10,72,B,74,71,9.8,61,52,28700000,down
SUP006,2026-05-10,68,B-,70,65,12.3,68,41,18200000,down
SUP007,2026-05-10,83,A,86,80,5.2,51,108,48900000,stable
SUP008,2026-05-10,76,B+,79,73,8.1,56,77,39600000,stable
SUP009,2026-05-10,88,A,91,85,2.9,42,142,67300000,up
SUP010,2026-05-10,74,B,77,72,8.8,59,63,31500000,stable
BUY001,2026-05-10,95,A+,98,94,0.5,28,489,2650000000,up
BUY002,2026-05-10,92,A+,94,91,1.2,31,367,1380000000,stable
BUY003,2026-05-10,88,A,90,87,2.8,35,312,2980000000,up
BUY004,2026-05-10,86,A,88,85,3.4,38,276,890000000,stable
BUY005,2026-05-10,94,A+,96,93,0.8,29,428,4120000000,up
BUY006,2026-05-10,90,A+,92,89,1.9,33,298,1080000000,stable
BUY007,2026-05-10,93,A+,95,92,1.1,30,351,1950000000,up
BUY008,2026-05-10,87,A,89,86,3.1,36,243,980000000,stable
BUY009,2026-05-10,85,A,87,83,4.2,39,198,760000000,down
BUY010,2026-05-10,91,A+,93,90,1.6,32,334,1720000000,up
