application_id,applicant_id,application_date,requested_amount_ntd,purpose,credit_score,matched_bank,loan_rate_pct,status,approval_date,approved_amount_ntd,tenure_months
FIN001,SUP001,2025-11-15,3000000,設備採購融資,87,台灣銀行,2.85,approved,2025-11-22,3000000,12
FIN002,SUP004,2025-12-01,5000000,廠房擴建貸款,91,玉山銀行,3.20,approved,2025-12-10,4500000,24
FIN003,SUP002,2025-12-20,2000000,流動資金周轉,79,合作金庫,3.65,approved,2026-01-03,1800000,6
FIN004,SUP003,2026-01-08,1500000,行銷推廣費用,85,第一銀行,3.10,approved,2026-01-15,1500000,12
FIN005,SUP009,2026-01-20,4000000,供應鏈融資,88,國泰世華銀行,2.95,approved,2026-01-28,4000000,18
FIN006,SUP007,2026-02-05,2500000,設備更新融資,83,玉山銀行,3.40,approved,2026-02-14,2200000,12
FIN007,SUP001,2026-02-18,5000000,業務擴展融資,87,台灣銀行,2.85,approved,2026-02-25,5000000,24
FIN008,SUP010,2026-03-01,1800000,原料採購融資,74,合作金庫,4.20,approved,2026-03-12,1500000,6
FIN009,SUP005,2026-03-15,1200000,流動資金,72,第一銀行,4.50,pending,,,
FIN010,SUP006,2026-03-22,800000,設備維護,68,國泰世華銀行,4.80,pending,,,
FIN011,SUP008,2026-04-05,2200000,廠房租賃押金,76,玉山銀行,3.75,pending,,,
FIN012,SUP002,2026-04-18,3500000,海外訂單周轉,79,台灣銀行,3.20,pending,,,
FIN013,SUP005,2025-10-10,2000000,廠房擴建,72,合作金庫,4.60,rejected,,,
FIN014,SUP006,2025-11-05,1500000,設備購置,68,第一銀行,4.80,rejected,,,
FIN015,SUP010,2025-12-15,2500000,存貨融資,74,玉山銀行,4.30,rejected,,,
