policy_id,insured_company_id,buyer_id,invoice_id,start_date,end_date,coverage_amount_ntd,premium_rate,premium_ntd,status,trigger_days,annual_premium_ntd
POL001,SUP001,BUY003,INV002,2025-10-15,2026-04-15,1250000,0.008,10000,claimed,30,20000
POL002,SUP002,BUY002,INV003,2025-11-01,2026-05-01,890000,0.006,5340,active,30,10680
POL003,SUP001,BUY007,INV009,2025-12-05,2026-06-05,680000,0.007,4760,claimed,30,9520
POL004,SUP001,BUY002,INV013,2025-12-25,2026-06-25,1100000,0.009,9900,active,30,19800
POL005,SUP004,BUY007,INV015,2026-01-08,2026-07-08,2200000,0.010,22000,active,30,44000
POL006,SUP003,BUY002,INV022,2026-02-05,2026-08-05,1350000,0.007,9450,active,30,18900
POL007,SUP001,BUY009,INV026,2026-02-20,2026-08-20,780000,0.008,6240,active,30,12480
POL008,SUP004,BUY010,INV027,2026-02-25,2026-08-25,2400000,0.006,14400,active,30,28800
POL009,SUP009,BUY005,INV030,2026-03-08,2026-09-08,1600000,0.009,14400,active,30,28800
POL010,SUP007,BUY003,INV035,2026-03-20,2026-09-20,1100000,0.007,7700,active,30,15400
POL011,SUP004,BUY008,INV038,2026-03-28,2026-09-28,1450000,0.008,11600,active,30,23200
POL012,SUP009,BUY002,INV041,2026-04-05,2026-10-05,1750000,0.006,10500,active,30,21000
POL013,SUP003,BUY010,INV044,2026-04-12,2026-10-12,340000,0.012,4080,active,30,8160
POL014,SUP002,BUY007,INV047,2026-04-20,2026-10-20,620000,0.007,4340,active,30,8680
POL015,SUP004,BUY009,INV049,2026-04-25,2026-10-25,1900000,0.009,17100,active,30,34200
POL016,SUP001,BUY004,INV004,2025-11-10,2026-02-10,430000,0.005,2150,expired,30,4300
POL017,SUP003,BUY001,INV005,2025-11-15,2026-02-15,760000,0.006,4560,expired,30,9120
POL018,SUP002,BUY005,INV008,2025-12-01,2026-03-01,320000,0.004,1280,expired,30,2560
POL019,SUP006,BUY001,INV012,2025-12-20,2026-03-20,180000,0.003,540,expired,30,1080
POL020,SUP007,BUY006,INV014,2026-01-03,2026-04-03,870000,0.006,5220,expired,30,10440
POL021,SUP008,BUY005,INV017,2026-01-15,2026-04-15,490000,0.005,2450,expired,30,4900
POL022,SUP009,BUY001,INV019,2026-01-25,2026-04-25,750000,0.006,4500,expired,30,9000
POL023,SUP005,BUY004,INV020,2026-01-28,2026-04-28,280000,0.004,1120,expired,30,2240
POL024,SUP010,BUY003,INV023,2026-02-10,2026-05-11,440000,0.005,2200,expired,30,4400
POL025,SUP002,BUY008,INV025,2026-02-18,2026-05-19,510000,0.006,3060,expired,30,6120
