invoice_id,invoice_number,seller_id,buyer_id,issue_date,due_date,amount_ntd,status,payment_date,payment_method,insurance_policy_id,overdue_days
INV001,E-2025-001,SUP001,BUY001,2025-10-05,2025-12-04,580000,paid,2025-11-28,bank_transfer,,0
INV002,E-2025-002,SUP001,BUY003,2025-10-15,2026-01-13,1250000,overdue,,,POL001,122
INV003,E-2025-003,SUP002,BUY002,2025-11-01,2026-01-30,890000,insured,,,POL002,0
INV004,E-2025-004,SUP001,BUY004,2025-11-10,2026-02-08,430000,paid,2026-02-05,TWQR,,0
INV005,E-2025-005,SUP003,BUY001,2025-11-15,2026-02-13,760000,paid,2026-02-10,bank_transfer,,0
INV006,E-2025-006,SUP001,BUY006,2025-11-20,2026-02-18,950000,pending,,,, 0
INV007,E-2025-007,SUP004,BUY003,2025-11-25,2026-02-23,1800000,paid,2026-02-20,bank_transfer,,0
INV008,E-2025-008,SUP002,BUY005,2025-12-01,2026-03-01,320000,paid,2026-02-25,TWQR,,0
INV009,E-2025-009,SUP001,BUY007,2025-12-05,2026-03-05,680000,overdue,,,POL003,71
INV010,E-2025-010,SUP005,BUY002,2025-12-10,2026-03-10,540000,paid,2026-03-08,bank_transfer,,0
INV011,E-2025-011,SUP003,BUY004,2025-12-15,2026-03-15,420000,pending,,,,0
INV012,E-2025-012,SUP006,BUY001,2025-12-20,2026-03-20,180000,paid,2026-03-18,TWQR,,0
INV013,E-2025-013,SUP001,BUY002,2025-12-25,2026-03-25,1100000,insured,,,POL004,0
INV014,E-2025-014,SUP007,BUY006,2026-01-03,2026-04-03,870000,paid,2026-04-01,bank_transfer,,0
INV015,E-2025-015,SUP004,BUY007,2026-01-08,2026-04-08,2200000,overdue,,,POL005,37
INV016,E-2025-016,SUP002,BUY003,2026-01-10,2026-04-10,660000,pending,,,,0
INV017,E-2025-017,SUP008,BUY005,2026-01-15,2026-04-15,490000,paid,2026-04-12,TWQR,,0
INV018,E-2025-018,SUP001,BUY008,2026-01-20,2026-04-20,380000,pending,,,,0
INV019,E-2025-019,SUP009,BUY001,2026-01-25,2026-04-25,750000,paid,2026-04-22,bank_transfer,,0
INV020,E-2025-020,SUP005,BUY004,2026-01-28,2026-04-28,280000,paid,2026-04-26,TWQR,,0
INV021,E-2026-001,SUP001,BUY001,2026-02-01,2026-05-02,920000,pending,,,,0
INV022,E-2026-002,SUP003,BUY002,2026-02-05,2026-05-06,1350000,insured,,,POL006,0
INV023,E-2026-003,SUP010,BUY003,2026-02-10,2026-05-11,440000,paid,2026-05-09,bank_transfer,,0
INV024,E-2026-004,SUP007,BUY007,2026-02-15,2026-05-16,630000,pending,,,,0
INV025,E-2026-005,SUP002,BUY008,2026-02-18,2026-05-19,510000,paid,2026-05-17,TWQR,,0
INV026,E-2026-006,SUP001,BUY009,2026-02-20,2026-05-21,780000,overdue,,,POL007,0
INV027,E-2026-007,SUP004,BUY010,2026-02-25,2026-05-26,2400000,insured,,,POL008,0
INV028,E-2026-008,SUP006,BUY002,2026-03-01,2026-05-30,160000,paid,2026-05-27,bank_transfer,,0
INV029,E-2026-009,SUP008,BUY004,2026-03-05,2026-06-03,990000,pending,,,,0
INV030,E-2026-010,SUP009,BUY005,2026-03-08,2026-06-06,1600000,overdue,,,POL009,0
INV031,E-2026-011,SUP001,BUY006,2026-03-10,2026-06-08,550000,paid,2026-06-05,TWQR,,0
INV032,E-2026-012,SUP003,BUY009,2026-03-12,2026-06-10,380000,pending,,,,0
INV033,E-2026-013,SUP005,BUY010,2026-03-15,2026-06-13,720000,paid,2026-06-11,bank_transfer,,0
INV034,E-2026-014,SUP010,BUY001,2026-03-18,2026-06-16,460000,paid,2026-06-13,TWQR,,0
INV035,E-2026-015,SUP007,BUY003,2026-03-20,2026-06-18,1100000,insured,,,POL010,0
INV036,E-2026-016,SUP002,BUY006,2026-03-22,2026-06-20,830000,paid,2026-06-18,bank_transfer,,0
INV037,E-2026-017,SUP001,BUY010,2026-03-25,2026-06-23,650000,pending,,,,0
INV038,E-2026-018,SUP004,BUY008,2026-03-28,2026-06-26,1450000,overdue,,,POL011,0
INV039,E-2026-019,SUP008,BUY007,2026-04-01,2026-06-30,390000,paid,2026-06-28,TWQR,,0
INV040,E-2026-020,SUP006,BUY009,2026-04-03,2026-07-02,240000,pending,,,,0
INV041,E-2026-021,SUP009,BUY002,2026-04-05,2026-07-04,1750000,insured,,,POL012,0
INV042,E-2026-022,SUP001,BUY004,2026-04-08,2026-07-07,580000,paid,2026-07-05,bank_transfer,,0
INV043,E-2026-023,SUP005,BUY005,2026-04-10,2026-07-09,910000,pending,,,,0
INV044,E-2026-024,SUP003,BUY010,2026-04-12,2026-07-11,340000,overdue,,,POL013,0
INV045,E-2026-025,SUP010,BUY006,2026-04-15,2026-07-14,1200000,paid,2026-07-12,TWQR,,0
INV046,E-2026-026,SUP007,BUY001,2026-04-18,2026-07-17,870000,pending,,,,0
INV047,E-2026-027,SUP002,BUY007,2026-04-20,2026-07-19,620000,insured,,,POL014,0
INV048,E-2026-028,SUP001,BUY003,2026-04-22,2026-07-21,480000,pending,,,,0
INV049,E-2026-029,SUP004,BUY009,2026-04-25,2026-07-24,1900000,overdue,,,POL015,0
INV050,E-2026-030,SUP008,BUY010,2026-04-28,2026-07-27,750000,paid,2026-07-25,bank_transfer,,0
