payment_id,invoice_id,payer_id,payee_id,payment_date,amount_ntd,method,status,transaction_ref,fee_ntd
PAY001,INV001,BUY001,SUP001,2025-11-28,580000,bank_transfer,completed,TXN-2025-11280001,580
PAY002,INV004,BUY004,SUP001,2026-02-05,430000,TWQR,completed,TXN-2026-02050001,215
PAY003,INV005,BUY001,SUP003,2026-02-10,760000,bank_transfer,completed,TXN-2026-02100001,760
PAY004,INV007,BUY003,SUP004,2026-02-20,1800000,bank_transfer,completed,TXN-2026-02200001,1800
PAY005,INV008,BUY005,SUP002,2026-02-25,320000,TWQR,completed,TXN-2026-02250001,160
PAY006,INV010,BUY002,SUP005,2026-03-08,540000,bank_transfer,completed,TXN-2026-03080001,540
PAY007,INV012,BUY001,SUP006,2026-03-18,180000,TWQR,completed,TXN-2026-03180001,90
PAY008,INV014,BUY006,SUP007,2026-04-01,870000,bank_transfer,completed,TXN-2026-04010001,870
PAY009,INV017,BUY005,SUP008,2026-04-12,490000,TWQR,completed,TXN-2026-04120001,245
PAY010,INV019,BUY001,SUP009,2026-04-22,750000,bank_transfer,completed,TXN-2026-04220001,750
PAY011,INV020,BUY004,SUP005,2026-04-26,280000,TWQR,completed,TXN-2026-04260001,140
PAY012,INV023,BUY003,SUP010,2026-05-09,440000,bank_transfer,completed,TXN-2026-05090001,440
PAY013,INV025,BUY008,SUP002,2026-05-17,510000,TWQR,completed,TXN-2026-05170001,255
PAY014,INV028,BUY002,SUP006,2026-05-27,160000,bank_transfer,completed,TXN-2026-05270001,160
PAY015,INV031,BUY006,SUP001,2026-06-05,550000,TWQR,completed,TXN-2026-06050001,275
PAY016,INV033,BUY010,SUP005,2026-06-11,720000,bank_transfer,completed,TXN-2026-06110001,720
PAY017,INV034,BUY001,SUP010,2026-06-13,460000,TWQR,completed,TXN-2026-06130001,230
PAY018,INV036,BUY006,SUP002,2026-06-18,830000,bank_transfer,completed,TXN-2026-06180001,830
PAY019,INV039,BUY007,SUP008,2026-06-28,390000,TWQR,completed,TXN-2026-06280001,195
PAY020,INV042,BUY004,SUP001,2026-07-05,580000,bank_transfer,completed,TXN-2026-07050001,580
PAY021,INV045,BUY006,SUP010,2026-07-12,1200000,TWQR,completed,TXN-2026-07120001,600
PAY022,INV050,BUY010,SUP008,2026-07-25,750000,bank_transfer,completed,TXN-2026-07250001,750
PAY023,INV006,BUY006,SUP001,2026-05-14,950000,bank_transfer,pending,TXN-2026-05140001,0
PAY024,INV011,BUY004,SUP003,2026-05-14,420000,TWQR,pending,TXN-2026-05140002,0
PAY025,INV016,BUY003,SUP002,2026-05-14,660000,bank_transfer,pending,TXN-2026-05140003,0
PAY026,INV018,BUY008,SUP001,2026-05-14,380000,TWQR,pending,TXN-2026-05140004,0
PAY027,INV021,BUY001,SUP001,2026-05-14,920000,bank_transfer,pending,TXN-2026-05140005,0
PAY028,INV024,BUY007,SUP007,2026-05-14,630000,TWQR,pending,TXN-2026-05140006,0
PAY029,INV029,BUY004,SUP008,2026-05-14,990000,bank_transfer,pending,TXN-2026-05140007,0
PAY030,INV032,BUY009,SUP003,2026-05-14,380000,TWQR,pending,TXN-2026-05140008,0
PAY031,INV002,BUY003,SUP001,2026-01-20,1250000,bank_transfer,failed,TXN-2026-01200001,0
PAY032,INV009,BUY007,SUP001,2026-04-01,680000,bank_transfer,failed,TXN-2026-04010002,0
PAY033,INV015,BUY007,SUP004,2026-05-01,2200000,TWQR,failed,TXN-2026-05010001,0
PAY034,INV026,BUY009,SUP001,2026-06-01,780000,bank_transfer,failed,TXN-2026-06010001,0
PAY035,INV030,BUY005,SUP009,2026-06-15,1600000,bank_transfer,failed,TXN-2026-06150001,0
PAY036,INV037,BUY010,SUP001,2026-07-01,650000,TWQR,pending,TXN-2026-07010001,0
PAY037,INV040,BUY009,SUP006,2026-07-10,240000,bank_transfer,pending,TXN-2026-07100001,0
PAY038,INV043,BUY005,SUP005,2026-07-12,910000,TWQR,pending,TXN-2026-07120001,0
PAY039,INV046,BUY001,SUP007,2026-07-17,870000,bank_transfer,pending,TXN-2026-07170001,0
PAY040,INV048,BUY003,SUP001,2026-07-21,480000,TWQR,pending,TXN-2026-07210001,0
